season,bb_ref_team_name,ATL,BOS,BKN,CHI,CHA,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
2020,Atlanta Hawks,NA,2-1,1-2,3-0,1-2,1-2,0-2,1-1,2-1,2-0,2-0,1-2,1-1,1-1,1-1,2-1,1-2,2-0,2-0,0-3,1-1,3-0,1-2,1-1,1-1,1-1,1-1,3-0,0-2,3-0
2020,Boston Celtics,1-2,NA,0-3,1-2,2-1,1-2,0-2,2-0,1-2,2-0,2-0,2-1,2-0,1-1,1-1,1-2,2-1,2-0,0-2,1-2,1-1,3-0,0-3,1-1,1-1,0-2,1-1,3-0,0-2,2-1
2020,Brooklyn Nets,2-1,3-0,NA,2-1,2-1,1-2,0-2,2-0,2-1,2-0,2-0,3-0,2-0,1-1,0-2,2-1,1-2,2-0,2-0,3-0,1-1,2-1,1-2,2-0,1-1,2-0,2-0,1-2,1-1,1-2
2020,Chicago Bulls,0-3,2-1,1-2,NA,3-0,1-2,2-0,0-2,3-0,0-2,2-0,2-1,0-2,0-2,0-2,1-2,1-2,1-1,2-0,1-2,1-1,1-2,0-3,0-2,1-1,1-1,0-2,3-0,0-2,2-1
2020,Charlotte Hornets,2-1,1-2,1-2,0-3,NA,1-2,1-1,0-2,3-0,1-1,2-0,2-1,0-2,0-2,0-2,2-1,2-1,2-0,1-1,1-2,1-1,2-1,0-3,1-1,1-1,2-0,1-1,1-2,0-2,2-1
2020,Cleveland Cavaliers,2-1,2-1,2-1,2-1,2-1,NA,0-2,0-2,2-1,0-2,2-0,0-3,0-2,0-2,1-1,0-3,0-3,1-1,0-2,1-2,1-1,0-3,2-1,0-2,0-2,0-2,1-1,1-2,0-2,0-3
2020,Dallas Mavericks,2-0,2-0,2-0,0-2,1-1,2-0,NA,2-1,2-0,2-1,1-2,1-1,2-1,2-1,2-1,2-0,1-1,2-1,2-1,1-1,2-1,2-0,0-2,0-3,1-2,0-3,2-1,1-1,1-2,2-0
2020,Denver Nuggets,1-1,0-2,0-2,2-0,2-0,2-0,1-2,NA,2-0,1-2,3-0,2-0,2-1,1-2,3-0,2-0,1-1,3-0,2-1,2-0,3-0,2-0,2-0,2-1,2-1,0-3,2-1,1-1,1-2,0-2
2020,Detroit Pistons,1-2,2-1,1-2,0-3,0-3,1-2,0-2,0-2,NA,0-2,1-1,0-3,0-2,1-1,1-1,1-2,0-3,0-2,1-1,0-3,2-0,1-2,1-2,1-1,0-2,1-1,0-2,3-0,0-2,1-2
2020,Golden State Warriors,0-2,0-2,0-2,2-0,1-1,2-0,1-2,2-1,2-0,NA,3-0,1-1,1-2,1-2,2-1,1-1,1-1,2-1,2-1,1-1,3-0,1-1,1-1,1-2,1-2,2-1,2-1,1-1,2-1,0-2
2020,Houston Rockets,0-2,0-2,0-2,0-2,0-2,0-2,2-1,0-3,1-1,0-3,NA,0-2,1-2,0-3,1-2,0-2,1-1,1-2,1-2,0-2,1-2,2-0,0-2,0-3,1-2,2-1,1-2,1-1,0-3,1-1
2020,Indiana Pacers,2-1,1-2,0-3,1-2,1-2,3-0,1-1,0-2,3-0,1-1,2-0,NA,0-2,0-2,2-0,2-1,0-3,2-0,1-1,1-2,2-0,3-0,1-2,1-1,1-1,0-2,1-1,2-1,0-2,0-3
2020,Los Angeles Clippers,1-1,0-2,0-2,2-0,2-0,2-0,1-2,1-2,2-0,2-1,2-1,2-0,NA,3-0,2-1,2-0,1-1,3-0,1-2,1-1,2-1,1-1,1-1,2-1,3-0,2-1,2-1,2-0,1-2,1-1
2020,Los Angeles Lakers,1-1,1-1,1-1,2-0,2-0,2-0,1-2,2-1,1-1,2-1,3-0,2-0,0-3,NA,3-0,0-2,1-1,3-0,2-1,1-1,3-0,2-0,0-2,1-2,1-2,1-2,2-1,1-1,1-2,0-2
2020,Memphis Grizzlies,1-1,1-1,2-0,2-0,2-0,1-1,1-2,0-3,1-1,1-2,2-1,0-2,1-2,0-3,NA,2-0,1-1,3-0,1-2,0-2,2-1,1-1,2-0,1-2,2-1,3-0,2-1,1-1,0-3,2-0
2020,Miami Heat,1-2,2-1,1-2,2-1,1-2,3-0,0-2,0-2,2-1,1-1,2-0,1-2,0-2,2-0,0-2,NA,1-2,1-1,2-0,3-0,2-0,2-1,1-2,0-2,1-1,2-0,2-0,2-1,1-1,2-1
2020,Milwaukee Bucks,2-1,1-2,2-1,2-1,1-2,3-0,1-1,1-1,3-0,1-1,1-1,3-0,1-1,1-1,1-1,2-1,NA,2-0,1-1,1-2,1-1,3-0,3-0,0-2,2-0,2-0,1-1,1-2,0-2,3-0
2020,Minnesota Timberwolves,0-2,0-2,0-2,1-1,0-2,1-1,1-2,0-3,2-0,1-2,2-1,0-2,0-3,0-3,0-3,1-1,0-2,NA,2-1,1-1,1-2,1-1,0-2,1-2,1-2,2-1,1-2,1-1,3-0,0-2
2020,New Orleans Pelicans,0-2,2-0,0-2,0-2,1-1,2-0,1-2,1-2,1-1,1-2,2-1,1-1,2-1,1-2,2-1,0-2,1-1,1-2,NA,0-2,2-1,1-1,1-1,1-2,0-3,2-1,1-2,2-0,1-2,1-1
2020,New York Knicks,3-0,2-1,0-3,2-1,2-1,2-1,1-1,0-2,3-0,1-1,2-0,2-1,1-1,1-1,2-0,0-3,2-1,1-1,2-0,NA,1-1,2-1,0-3,0-2,1-1,1-1,1-1,2-1,1-1,3-0
2020,Oklahoma City Thunder,1-1,1-1,1-1,1-1,1-1,1-1,1-2,0-3,0-2,0-3,2-1,0-2,1-2,0-3,1-2,0-2,1-1,2-1,1-2,1-1,NA,1-1,0-2,1-2,1-2,0-3,2-1,1-1,0-3,0-2
2020,Orlando Magic,0-3,0-3,1-2,2-1,1-2,3-0,0-2,0-2,2-1,1-1,0-2,0-3,1-1,0-2,1-1,1-2,0-3,1-1,1-1,1-2,1-1,NA,0-3,1-1,0-2,1-1,0-2,0-3,0-2,2-1
2020,Philadelphia 76ers,2-1,3-0,2-1,3-0,3-0,1-2,2-0,0-2,2-1,1-1,2-0,2-1,1-1,2-0,0-2,2-1,0-3,2-0,1-1,3-0,2-0,3-0,NA,0-2,0-2,2-0,2-0,2-1,1-1,3-0
